intent_id,intent_name,kategori,contoh_utterance_1,contoh_utterance_2,contoh_utterance_3,contoh_utterance_4,contoh_utterance_5,node_target,respon_template
I001,navigasi_lobby,navigasi,Di mana lobby gedung A?,Mana pintu masuk gedung A?,Bagaimana cara masuk gedung A?,Lobby gedung A di mana?,Pintu utama gedung A di mana?,LOBBY,Lobby Utama Gedung A adalah titik masuk utama. Anda berada di lantai 1.
I002,navigasi_perlengkapan,navigasi,Di mana ruang perlengkapan?,Ruang umum ada di mana?,Di mana ruang K1B?,Bagaimana ke ruang perlengkapan dan umum?,Ruang logistik gedung A di mana?,K1B,Dari Lobby belok kiri ke pintu koridor. Jalan sekitar 10 meter. Ruang Perlengkapan dan Umum ada di sebelah kiri pintu pertama.
I003,navigasi_tata_usaha,navigasi,Di mana ruang tata usaha?,TU ada di mana?,Ruang administrasi di mana?,Mana ruang koordinator TU?,Di mana bisa urus surat?,K1A,Dari Lobby belok kiri ke pintu koridor. Jalan sekitar 15 meter. Ruang Koordinator Tata Usaha ada di sebelah kiri pintu kedua.
I004,navigasi_lab_uti,navigasi,Di mana lab UTI?,Lab sistem informasi ada di mana?,Lab jaminan mutu di mana?,Lab UTI L1A ada di mana?,Di mana Lab Unit Jaminan Mutu?,L1A,Dari Lobby belok kiri ke pintu koridor. Jalan sekitar 20 meter. Lab UTI ada di sebelah kiri pintu ketiga. Di sebelahnya ada pintu keluar menuju parkiran.
I005,navigasi_lab_kimia_anorganik,navigasi,Di mana lab kimia anorganik?,Lab anorganik ada di mana?,Ruang L1J ada di mana?,Di mana praktikum kimia anorganik?,Lab kimia anorganik lantai berapa?,L1J,Dari Lobby belok kiri ke koridor. Jalan 20 meter sampai pertigaan. Belok kanan jalan 8 meter. Lab Kimia Anorganik ada di sebelah kiri.
I006,navigasi_lab_biokimia,navigasi,Di mana lab biokimia?,Lab bioteknologi ada di mana?,Lab L1I di mana?,Di mana praktikum biokimia?,Ruang biokimia dan bioteknologi di mana?,L1I,Dari Lobby belok kiri ke koridor. Jalan 20 meter sampai pertigaan. Belok kanan jalan 12 meter. Lab Biokimia dan Bioteknologi ada di sebelah kiri pintu kedua.
I007,navigasi_lab_kimfis,navigasi,Di mana lab kimia fisika?,Lab kimfis ada di mana?,Lab L1G di mana?,Di mana praktikum kimia fisika?,Ruang kimia fisika di mana?,L1G,Dari Lobby belok kiri ke koridor. Jalan 20 meter sampai pertigaan. Belok kanan jalan 25 meter. Lab Kimia-Fisika ada di sebelah kiri pintu keempat.
I008,navigasi_toilet,navigasi,Di mana toilet?,WC ada di mana?,Kamar mandi di mana?,Toilet lantai 1 di mana?,Di mana bisa ke toilet?,T1B,Dari lobby belok kanan menuju koridor utama. Jalan sekitar 20 meter berhenti di pertigaan. Toilet ada di sebelah kanan. Toilet ada di sebelah kanan tangga.
I009,navigasi_lab_kimia_organik,navigasi,Di mana lab kimia organik?,Lab organik ada di mana?,Lab L1C di mana?,Di mana praktikum kimia organik?,Ruang kimia organik di lantai berapa?,L1C,Dari Lobby belok kanan menuju koridor utama. Jalan 20 meter sampai pertigaan. Belok kiri jalan 12 meter. Lab Kimia Organik ada di sebelah kanan.
I010,navigasi_kaprodi_ilkom,navigasi,Di mana ruang kaprodi ilmu komputer?,Ruang koordinator prodi komputer di mana?,Kaprodi ilkom ada di mana?,Ruang P1A di mana?,Di mana ketua prodi ilmu komputer?,P1A,Dari Lobby belok kanan ke koridor utama. Jalan 20 meter belok kiri. Susuri koridor 50 meter. Di pertigaan belok kiri 3 meter. Ruang Kaprodi Ilmu Komputer ada di sebelah kanan pintu pertama.
I011,navigasi_kaprodi_kimia,navigasi,Di mana ruang kaprodi kimia?,Ketua jurusan kimia ada di mana?,Ruang P1B di mana?,Di mana prodi kimia?,Ruang ketua jurusan kimia di mana?,P1B,Dari Lobby belok kanan ke koridor utama. Jalan 20 meter belok kiri. Susuri koridor 50 meter. Di pertigaan belok kiri 5 meter. Ruang Kaprodi Kimia ada di sebelah kanan pintu kedua.
I012,navigasi_kaprodi_statistika,navigasi,Di mana ruang kaprodi statistika?,Ketua jurusan statistika ada di mana?,Ruang P1C di mana?,Di mana prodi statistika?,Ruang ketua prodi statistika di mana?,P1C,Dari Lobby belok kanan ke koridor utama. Jalan 20 meter belok kiri. Susuri koridor 50 meter. Di pertigaan belok kiri 5 meter. Ruang Kaprodi Statistika ada di sebelah kanan pintu ketiga.
I013,navigasi_kaprodi_biologi,navigasi,Di mana ruang kaprodi biologi?,Ketua jurusan biologi ada di mana?,Ruang P1D di mana?,Di mana prodi biologi?,Ruang kaprodi biologi di lantai berapa?,P1D,Dari Lobby belok kanan ke koridor utama. Jalan 20 meter belok kiri. Susuri koridor 50 meter. Di pertigaan belok kiri 30 meter. Belok kanan jalan 10 meter. Ruang Kaprodi Biologi ada di sebelah kanan. Bersebelahan dengan Ruang Seminar.
I014,navigasi_kaprodi_bioteknologi,navigasi,Di mana ruang kaprodi bioteknologi?,Ketua jurusan bioteknologi ada di mana?,Ruang P1E di mana?,Di mana prodi bioteknologi?,Ruang kaprodi bioteknologi di mana?,P1E,Dari Lobby belok kanan ke koridor utama. Jalan 20 meter belok kiri. Susuri koridor 50 meter. Di pertigaan belok kiri 30 meter. Belok kanan jalan 10 meter. Ruang Kaprodi Bioteknologi ada di sebelah kiri. Bersebelahan dengan Ruang Seminar.
I015,navigasi_kaprodi_matematika,navigasi,Di mana ruang kaprodi matematika?,Ketua jurusan matematika ada di mana?,Ruang P1F di mana?,Di mana prodi matematika?,Mana ruang matematika?,P1F,Dari Lobby belok kanan ke koridor utama. Jalan 20 meter belok kiri. Susuri koridor 50 meter. Di pertigaan belok kiri jalan 40 meter. Ruang Kaprodi Matematika ada di sebelah kanan. Di sebelahnya ada mading Matematika.
