route_id,dari_node,tujuan_node,nama_tujuan,lantai_tujuan,langkah_navigasi,catatan_tambahan,total_jarak_estimasi
R001,LOBBY,K1B,Ruang Perlengkapan dan Umum,1,Dari Lobby belok kiri ke pintu koridor|Jalan sekitar 10 meter|Ruang Perlengkapan dan Umum ada di sebelah kiri pintu pertama,Di sebelah ruang ini ada pintu masuk menuju lobby,10
R002,LOBBY,K1A,Ruang Koordinator Tata Usaha,1,Dari Lobby belok kiri ke pintu koridor|Jalan sekitar 15 meter|Ruang Koordinator Tata Usaha ada di sebelah kiri pintu kedua,,15
R003,LOBBY,L1A,Ruang Laboratorium UTI,1,Dari Lobby belok kiri ke pintu koridor|Jalan sekitar 20 meter|Lab UTI ada di sebelah kiri pintu ketiga,Di sebelah lab ini ada pintu keluar menuju parkiran,20
R004,LOBBY,L1J,Ruang Laboratorium Kimia Anorganik,1,Dari Lobby belok kiri ke pintu koridor|Jalan sekitar 20 meter|Dapat pertigaan belok kanan|Jalan sekitar 8 meter|Lab Kimia Anorganik ada di sebelah kiri,,28
R005,LOBBY,L1I,Ruang Laboratorium Biokimia dan Bioteknologi,1,Dari Lobby belok kiri ke pintu koridor|Jalan sekitar 20 meter|Dapat pertigaan belok kanan|Jalan sekitar 12 meter|Lab Biokimia dan Bioteknologi ada di sebelah kiri pintu kedua,,32
R006,LOBBY,L1G,Ruang Laboratorium Kimia-Fisika,1,Dari Lobby belok kiri ke pintu koridor|Jalan sekitar 20 meter|Dapat pertigaan belok kanan|Jalan sekitar 25 meter|Lab Kimia-Fisika ada di sebelah kiri pintu keempat,,45
R007,LOBBY,T1B,Toilet,1,Dari lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter berhenti di pertigaan|Toilet ada di sebelah kanan,Toilet ada di sebelah kanan tangga,20
R008,LOBBY,L1C,Ruang Laboratorium Kimia Organik,1,Dari Lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kiri|Jalan sekitar 12 meter|Lab Kimia Organik ada di sebelah kanan,,32
R009,LOBBY,P1A,Ruang Koordinator Prodi Ilmu Komputer,1,Dari Lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kiri|Jalan menyusuri koridor utama 50 meter|Di pertigaan belok kiri sekitar 3 meter|Ruang Kaprodi Ilmu Komputer tepat di sebelah kanan pintu pertama,,73
R010,LOBBY,P1B,Ruang Ketua Jurusan Kimia,1,Dari Lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kiri|Jalan menyusuri koridor utama 50 meter|Di pertigaan belok kiri sekitar 5 meter|Ruang Kaprodi Kimia di sebelah kanan pintu kedua,,75
R011,LOBBY,P1C,Ruang Ketua Jurusan S1 Statistika,1,Dari Lobby belok kanan menuju koridor utama|Jalan sekitar 20 meter|Dapat pertigaan belok kiri|Jalan menyusuri koridor utama 50 meter|Di pertigaan belok kiri sekitar 5 meter|Ruang Kaprodi Statistika di sebelah kanan pintu ketiga,,75
